Unnamed: 0,job_title,company_name,location,salary,description,company_description,jobs_posted,hired_to_posted_ratio,has_company_logo,job_description_length,Important_Word_Count,important_words,currency_in_title,htp_ratio,no_of_employee,verified
0,"
                                Laravel Developer                            ",SpellenX Innovations,Ahmedabad,"₹ 2,00,000 - 3,00,000","Key responsibilities:  1. Writing clean, test-driven, easily maintainable, and modular code 2. Having a good working knowledge of database design and maintenance 3. Building reusable code and libraries for future use 4. Troubleshooting and debugging applications 5. Ensuring a great performance in UI or backend tests to optimize performance 6. Designing and developing web applications for the PHP platform (Laravel) 7. Collaborating with cross-functional teams to define, design, and ship new features 8. Ensuring the performance, quality, and responsiveness of web applications 9. Having sound working knowledge of identifying and correcting bottlenecks and fixing bugs 10. Working on bug fixing and improving application performance 11. Constantly discovering, evaluating, and implementing new technologies to maximize development efficiency1.  Those who are from or open to relocate to AhmedabadBE/B. Tech, BCA, MCA, or any graduates from a computer background.Those who are from the Gujarat location.Annual CTC: ₹ 2,00,000 - 3,00,000 /year5WebsiteSpellenX Innovations Limited is a startup company. We have real-money games as well as consultancy in mobile app development and game development based on the needs of the client. We help you realize your game or app ideas by automating them. Our mobile game and app developers take your business to new heights by putting your ideas into motion.",1,18,0.0555555555555555,1,1,12,1,1,0,,0
1,"
                                Project Manager                            ",Binary Numbers,Mumbai,"₹ 3,00,000 - 4,00,000","Key responsibilities:  1. Create, manage, and communicate plans and processes 2. Analyze and develop procedures for management and technical duties 3. Define project responsibilities with stakeholders 4. Participate in how the budget and staff are allocated for the project 5. Maintain project time frames, budget estimates, and status reports  Skills required:  1. Good knowledge of documentation like BRD, UML diagram, etc. 2. Good to have - Experience in AWS, MySQL, & Javascript technology 3. Strong communication skills to coordinate with team members, vendors, and management 4. Analytical, computer, math, and problem-solving skills to be able to use software and explain the software 5. Organizational skills and time management skills to keep projects on track to the finish 6. Project managing skills to start projects and finish projects successfully 7. Excellent leadership abilities 8. Attention to detail 9. Excellent computer literacy skills 10. Ability to problem-solve under pressure 11. Excellent interpersonal and communication skills1. Candidates with minimum 1 years of experience.2.  Those who are from or open to relocate to Mumbai and neighboring citiesAnnual CTC: ₹ 3,00,000 - 4,00,000 /year1We are a product engineering company working on the latest technologies like Node.js, MongoDB, and React.",1,112,0.3303571428571428,1,1,2,1,1,1,,1
2,"
                                Cinematics (Unreal Engine)                            ",IDZ Digital Private Limited,Mumbai,"₹ 2,00,000 - 3,00,000","Key responsibilities:  1. Collaborate with the cinematics team to design and implement visually engaging cinematic sequences using Unreal Engine 2. Demonstrate a strong understanding of Unreal Engine functionalities, tools, and workflows to create high-quality cinematics 3. Utilize Mixamo within Unreal Engine for character rigging, animation, and integration into cinematic sequences 4. Configure and set up camera shots, angles, movements, and sequences to enhance storytelling and visual appeal 5. Translate storyboard concepts into dynamic and compelling cinematic sequences, ensuring alignment with the project's creative vision 6. Work closely with other team members including artists, animators, and designers to ensure seamless integration of cinematics within the project 7. Troubleshoot technical issues related to cinematics, Unreal Engine, and Mixamo to ensure smooth production processes 8. Maintain clear and organized documentation of workflows, processes, and assets used in cinematic creation within Unreal Engine1. Strong creative instincts and adaptability to various storytelling styles and project requirements2. Portfolio: A portfolio showcasing previous work in Unreal Engine cinematics is highly desirableAnnual CTC: ₹ 2,00,000 - 3,00,000 /year3WebsiteIDZ Digital's humble beginnings can be traced back to 2004 when we began creating websites. In 2010, we became one of India's first mobile app developers, having launched our first app. Today, we are among the leading developers of apps and games for kids, with over 200 million downloads and over 100,000 5-star reviews.  Life at IDZ Digital is stimulating, energetic, and immensely rewarding. Our team of more than 100 enthusiastic minds is always trying out new things and concepts to make our ideas come to life. We have development centers in Borivali and Thane providing a vibrant and joyful working environment. We're proud to give people a happy, open, and welcoming place to work. We give them responsibilities early on so they can work on their skills, learn faster and move up in their careers.",1,1010,0.0138613861386138,1,1,2,1,1,0,,0
3,"
                                Unity Developer                            ",IDZ Digital Private Limited,Mumbai,"₹ 2,00,000 - 3,00,000","Key responsibilities:  1. Create game prototypes in Unity with a small autonomous team 2. Work on being a part of an agile and autonomous team and work closely with them 3. Develop a playable prototype in a single week 4. Maintain code quality, organization, and automatizationAnnual CTC: ₹ 2,00,000 - 3,00,000 /year3WebsiteIDZ Digital's humble beginnings can be traced back to 2004 when we began creating websites. In 2010, we became one of India's first mobile app developers, having launched our first app. Today, we are among the leading developers of apps and games for kids, with over 200 million downloads and over 100,000 5-star reviews.  Life at IDZ Digital is stimulating, energetic, and immensely rewarding. Our team of more than 100 enthusiastic minds is always trying out new things and concepts to make our ideas come to life. We have development centers in Borivali and Thane providing a vibrant and joyful working environment. We're proud to give people a happy, open, and welcoming place to work. We give them responsibilities early on so they can work on their skills, learn faster and move up in their careers.",1,1010,0.0138613861386138,1,1,4,1,1,0,,0
4,"
                                Senior WordPress Developer                            ",Web Impetus,Noida,"₹ 2,50,000","The senior WordPress developer is a key member of our development team, responsible for creating and maintaining high-quality, dynamic websites and applications.  Key responsibilities:  1. Design and develop WordPress websites and applications 2. Create custom themes and plugins 3. Optimize existing websites for speed and performance 4. Write clean, maintainable code with documented standards 5. Troubleshoot web server and database issues 6. Monitor website analytics, usage, and security 7. Collaborate with other developers and designers  Requirements:  1. At least 1 year of WordPress development experience 2. Proficiency in HTML, CSS, JavaScript, and PHP 3. Knowledge of MySQL, AJAX, and REST APIs 4. Understanding of WordPress security best practices 5. Ability to work independently and in a team setting 6. Excellent written and verbal communication skills 7. Experience working at an agency is preferred 8. The ideal candidate should be an experienced WordPress developer with a focus on coding standards, site performance, and modern web technologies1. Candidates with minimum 1 years of experience.Annual CTC: ₹ 2,50,000 /year1WebsiteWe are a company that works in the field of the internet. We believe in the power of the internet to solve many of the problems faced by small businesses and startups in today's world. Some of the areas we tend to focus on are web design and development, social media marketing, and top secret stuff.",1,61,0.0983606557377049,1,1,11,1,1,0,,0
5,"
                                QMS & QA Engineer                            ",SALUJA CAD CONSULTANCY,Faridabad,"₹ 5,00,000 - 5,50,000","Key responsibilities:  1. Update and maintain all the records of all departments as per ISO/IATF 16949 2. Interact with internal or external customers daily 3. Maintain QMS & confirming the standard requirements for every concerned department 4. Monitor the effectiveness of CAR (Corrective Action Report) 5. UpdatE the record of 4M (Man, Machine, Material & Method) in the process 6. Organize PPAP, CAPA, 8D, 7QC as per plan and monitoring its action plan 7. Prepare of monthly MIS data and sent to their HODs on or before the 10th of every month 8. Conduct the Internal audit as per plan and circulate the NCs to all concerned department1. Candidates with minimum 3 years of experience.2.  Those who are from or open to relocate to Faridabad, Delhi, Ghaziabad, Noida, Manesar and neighboring citiesDiploma/B.techKnowledge of QMS ISO 9001:2015/IATF 16949: 2016/ MACEKnowledge of quality toolsCertified internal auditorMust be familiar with parts or processHaving good computer knowledge & skill e.g., MS word, Excel & Powerpoint, etc.Having good communication skills like; writing, speaking & understandingAnnual CTC: ₹ 5,00,000 - 5,50,000 /year4WebsiteWe offer services such as professional website design, illustrations, corporate identity, and packaging design, all at affordable prices. We use the most up-to-date approaches and cutting-edge technologies to create bold and clean designs that make an instant impression. Whether you want to create a new design for your website or logo or revitalize an existing one, we have the expertise to help you meet your objectives.",1,200,0.02,1,1,2,1,1,0,,0
6,"
                                PLC Programmer In Automation & Robotic                            ",SALUJA CAD CONSULTANCY,Faridabad,"₹ 2,00,000 - 3,00,000","Key responsibilities:  1. Work on all electrical and electronics components, all communication systems like Modbus, RS232, Ethernet TCP/IP, PI protocol, etc. 2. Design and draw the electrical control circuits in AutoCAD software 3. Select the component as per logic and make BOM  Industry: Industrial products, heavy machinery Functional area: Engineering Design, R&DQualification: B.tech/B.E. (Electrical, Diploma - Electrical, Electronics)Candidates must have a thorough knowledge and hands-on experience in PLC, HMI, SCADA ladder programming, and logic designing (Omron, Delta, Mitsubishi, Allen Bradley, Siemens)Candidates must also possess a deep understanding of Servo Motor drivers and stepper motor driversCandidates should be conversant with all electrical and electronics components, as well as various communication systems such as Modbus, RS232, Ethernet TCP/IP, and PI Protocol, among othersThey should be able to design and draw electrical control circuits using AutoCAD software and can select components based on logical requirements and create a bill of materials (BOM)Annual CTC: ₹ 2,00,000 - 3,00,000 /year3WebsiteWe offer services such as professional website design, illustrations, corporate identity, and packaging design, all at affordable prices. We use the most up-to-date approaches and cutting-edge technologies to create bold and clean designs that make an instant impression. Whether you want to create a new design for your website or logo or revitalize an existing one, we have the expertise to help you meet your objectives.",1,200,0.02,1,1,2,1,1,0,,0
7,"
                                Quality Inspector                            ",SALUJA CAD CONSULTANCY,Delhi,"₹ 2,00,000 - 3,00,000","We are looking for a responsible quality inspector to check the quality of all incoming and outgoing material and products as well as production procedures.  Key responsibilities:  1. Reading blueprints and instructions to comprehend the quality expectations for the product and supplies 2. Approving or rejecting raw materials with respect to quality standards and record supplier performance 3. Selecting output samples and checking them using appropriate methods  Experience: 1-2 years1.  Those who are from or open to relocate to Delhi, Ghaziabad, Gurgaon, Rewari, Noida and neighboring citiesAnnual CTC: ₹ 2,00,000 - 3,00,000 /year4WebsiteWe offer services such as professional website design, illustrations, corporate identity, and packaging design, all at affordable prices. We use the most up-to-date approaches and cutting-edge technologies to create bold and clean designs that make an instant impression. Whether you want to create a new design for your website or logo or revitalize an existing one, we have the expertise to help you meet your objectives.",1,200,0.02,1,1,3,1,1,0,,0
8,"
                                WordPress Developer                            ",Creatiwise,Mumbai,"₹ 2,00,000 - 2,10,000","Key responsibilities:  1. Work on building the design on WordPress/Webflow 2. Collaborate with the WordPress/Webflow team to understand project requirements and objectives 3. Assist in translating design mockups into interactive websites using WordPress/Webflow 4. Implement responsive web design techniques to ensure optimal user experience across different devices and screen sizes  Note: You will be provided with the design, you just need to build it.Annual CTC: ₹ 2,00,000 - 2,10,000 /year1We are Creatiwise, a design and branding agency with partners worldwide. We design thoughtful digital experiences and beautiful brand aesthetics.",1,571,0.2259194395796847,1,1,1,1,1,1,,1
9,"
                                Node.js Developer                            ",Warewe Consultancy Private Limited,Gurgaon,"₹ 3,00,000 - 5,00,000","Key responsibilities:  1. Working with a web scraper 2. Working with the Puppeteer package on Node.js 3. Managing code deployment on the cloud 4. Creating & integrating third (3rd) party REST APIs 5. Working on SaaS-based projects1. Candidates with minimum 1 years of experience.Annual CTC: ₹ 3,00,000 - 5,00,000 /year1WebsiteWe are a technology company diversified into managing web and mobile app development. More than 50 applications are live and deployed which include e-commerce, web applications, and mobile applications (iOS & Android).",1,186,0.2365591397849462,1,1,8,1,1,1,,1
