job_title,company_name,location,salary,description,company_description,hired_to_posted_ratio,has_company_logo,job_description_length,Important_Word_Count,important_words,currency_in_title,authentic,htp_ratio,result
iOS App Development,STEMpedia,Ahmedabad,"₹ 9,000-15,000 /month","Selected intern's day-to-day responsibilities include:  1. Developing applications for interfacing iOS devices with the company's product range using Bluetooth, WiFi, OTG, etc., and ensuring compatibility with a diverse range of iOS devices 2. Developing and maintaining communication architecture/protocol at the back end for sending, receiving, and interpreting messages over Bluetooth, WiFi, and OTG 3. Working with product developers, application developers, and the business development team to draft and develop different layers of infrastructure & features of the application 4. Designing mock-ups with the graphic design team and developing interactive UIs of the application 5. Making the application cloud-compatible with user login, data publication, tutorials, etc.Only those candidates can apply who:1. are available for full time (in-office) internship2. can start the internship between 8th Jan'24 and 12th Feb'243. are available for duration of 6 months4. have relevant skills and interests1WebsiteFounded in 2016 by IITK alumni, STEMpedia envisions transforming AI and Robotics, an emerging technology education space in the world, through its real-life application-driven approach to curriculum, unique teacher training program, and international events and competitions. We lead the AI and robotics education market in India with our holistic learning ecosystem for kids aged 7+ years. With our curated packages for schools, educational institutions, and activity centers, we have delivered our AI & Robotics Lab to 400+ schools across 50+ countries.",1,0.365781711,1,1,3,1,1,1,1,1
Internet Of Things (IoT),Purewatt Renewables Private Limited,Gunupur,"₹ 10,000 /month","Selected intern's day-to-day responsibilities include designing IoT-related projects and preparing project reports regularly.Only those candidates can apply who:1. are available for full time (in-office) internship2. can start the internship between 8th Jan'24 and 12th Feb'243. are available for duration of 6 months4. have relevant skills and interests* Women wanting to start/restart their career can also apply.2PureWatt Renewables Private Limited is a forward-thinking company dedicated to advancing sustainable energy solutions and environmental stewardship. With a steadfast commitment to creating a cleaner and greener future, PureWatt specializes in a diverse array of activities focused on renewable power research, energy audits, the design of electrical solar plants, smart grid implementation, and the construction of green buildings.",1,0.333333333,1,1,0,0,1,0,1,1
Product Management,FynTune Solution Private Limited,Thane,"₹ 12,000-18,000 /month","Selected intern's day-to-day responsibilities include:  1. Understanding the product offerings and managing new deliverables 2. Working on product planning and its complete roadmap, including UI/UX 3. Collaborating with FynTune's stakeholders, including both the management and their clients who utilize FynTune's technology solutions, such as insurance companies, aggregators, and financial enterprises, to plan projects effectively 4. Working along with the QA team on product logic and product validations 5. Working along with the technology team on product development 6. Working with the project team & supporting them on product deliveries 7. Coordinating with stakeholders (internal & external) for the smooth delivery of the overall project 8. Understanding the requirements of clients on the project front and getting the deliveries from FynTune's technology and product teamOnly those candidates can apply who:1. are available for full time (in-office) internship2. can start the internship between 9th Jan'24 and 13th Feb'243. are available for duration of 6 months4. have relevant skills and interests* Women wanting to start/restart their career can also apply.5WebsiteFynTune Solution Private Limited is a fin-tech startup founded by alumni of IIT, IIM, and veterans from the insurance industry with actuarial science and strategy backgrounds. FynTune Solution has expertise in building technology platforms for insurance companies and insurance intermediaries. Based out of Turbhe (Vashi, Navi Mumbai), FynTune is bringing disruption in the insurance space by making technology easily accessible and affordable to all.",1,0.392405063,1,1,3,1,1,1,1,1
Web Development,Space Chase Private Limited,Work From Home,"₹ 5,000 /month","Selected intern's day-to-day responsibilities include:  1. Design and create visually appealing elements for the website using Wix's design tools 2. Implement and customize templates to align with the company's branding 3. Customize existing Wix templates to meet specific design and functionality requirements 4. Implement custom code using Wix Code for advanced features 5. Regularly update and maintain website content, ensuring it reflects the latest information about the company 6. Implement basic SEO practices to improve the website's visibility on search engine 7. Conduct thorough testing of the website to ensure functionality across different browsers and devices 8. Set up and manage databases within Wix for storing and retrieving dataOnly those candidates can apply who:1. are available for the work from home job/internship2. can start the work from home job/internship between 17th Jan'24 and 21st Feb'243. are available for duration of 2 months4. have relevant skills and interests* Women wanting to start/restart their career can also apply.1WebsiteSpace Chase is an aviation company in India engaged in designing, developing, manufacturing, and testing various defense and UAV engineering products and solutions.",1,0,1,1,2,1,1,0,0,1
Web Development,Digital Yodha,Work From Home,"₹ 1,500 /month",Selected intern's day-to-day responsibilities include:  1. Work on WordPress development 2. Work on web hosting 3. Submit daily updatesOnly those candidates can apply who:1. are available for the work from home job/internship2. can start the work from home job/internship between 20th Jan'24 and 24th Feb'243. are available for duration of 3 months4. have relevant skills and interests1Instagram pageDigital Yodha is an organization dedicated to helping people protect themselves from cyberattacks and cyberbullying.,1,0.333333333,1,1,2,1,1,1,1,1
Front End Development,Camp Yellow,Work From Home,"₹ 35,000 /month +  Incentives","Selected intern's day-to-day responsibilities include:  1. Implement tasks in collaboration with the mentor 2. Pitch in with design ideas to make the website better 3. Follow industry best practices while codingOnly those candidates can apply who:1. are available for the work from home job/internship2. can start the work from home job/internship between 20th Jan'24 and 24th Feb'243. are available for duration of 1 month4. have relevant skills and interestsStipend structure: This is a performance-based internship. In addition to the minimum-assured stipend, you will also be paid a performance-linked incentive (₹ 5000 per monthly deliverables).3We are a gaming company focused on building games for everyone. We are heavily focused on creating reusable & configurable components which makes game creation a smoother and highly recourse efficient process.",1,0.486486486,1,1,0,0,1,0,1,1
Web Development,ALMI Blogging School Pro (Almi Production Land Solar Private Limited),Chennai,"₹ 3,000 /month","Selected intern's day-to-day responsibilities include:  1. Write well-designed, testable, efficient code by using best software development practice 2. Learn, WordPress, and e-commerce websites 3. Create and maintain software documentation 4. Direct or perform website update 5. Use scripting or authoring language, management tools, applications, and digital media  Who can apply:  1. Candidates from Chennai should only applyOnly those candidates can apply who:1. are available for full time (in-office) internship2. can start the internship between 20th Jan'24 and 24th Feb'243. are available for duration of 3 months4.  are from or open to relocate to Chennai and neighboring cities5. have relevant skills and interests* Women wanting to start/restart their career can also apply.Job offer: On successful conversion to a permanent employee, the candidate can expect a salary of Rs. 300000 to 500000 /year10ALMI Blogging School Pro is a digital media marketing company that promotes businesses in the digital field. We are experts in producing creative content and tailor (return on investment) ROI-driven campaigns for brands to help them achieve their sales goals and brand's objectives. ALMI has given voices to brands, created identities for start-ups, and established branding styles for businesses. We believe that brands should have the necessary reach that they require in the digital world which reaches a whole lot of the millennial population.  Our organization works to provide the best outputs in terms of creativity and innovation. We have experts to guide you in the right direction on digital media. Our company deals with a strategic mission to meet all the needs of our customers in every possible way. We have a young, experienced, and vigorous team of enthusiastic experts who have confidence in innovative strategies and out-of-the-box solutions.",1,0.030973451,1,1,1,1,1,0,0,0
Web App Development Using React JS And Node JS,MyMegaminds,Work From Home,"₹ 10,000 /month","Selected intern's day-to-day responsibilities include:  1. Creating applications similar to apps like Uber, Flipkart, Amazon etc 2. Backend to be done using Node JS or Next JS 3. Frontend to be done using React Native/ React JS 4. Working on separate modules and delivering each module separately after testing 5. Working with our team members using remote desktop and staying in touch during the entire shift during working days 6. Ensure the candidate possesses proficient knowledge React JS, React Native, Node JS along with familiarity with related technologies such as MongoDB or SQL, Next.js, etc. 7. Limit applications to those with previous experience developing a similar app, requiring them to showcase their prior work before consideration 8. Emphasize that the project is live, and only candidates available for full-time shifts should apply 9. Specify that only candidates ready to start immediately are eligible for the position 10. Inform candidates that if they wish to continue after six months, they can request an extension for an additional six months and may receive a bonus ranging from 60k-100k, in addition to the monthly stipend of 10k 11. Highlight that candidates will be working on high-tech projects, making them suitable for intermediate or above-level candidates 12. Request candidates to specify whether they are applying for the role of designer/frontend or backend development 13. State that the shift duration is 8 hoursOnly those candidates can apply who:1. are available for the work from home job/internship2. can start the work from home job/internship between 20th Jan'24 and 24th Feb'243. are available for duration of 6 months4. have relevant skills and interests* Women wanting to start/restart their career can also apply.9MyMegaminds is an education help provider working in the field of online tutoring and project help for students studying overseas. We have been working aggressively to provide education to every student from any part of the globe without considering the time limit.",1,0.190721649,1,1,7,1,1,1,1,1
UX/UI Design (Virtual),YTViews Digital Media Private Limited,Work From Home,"₹ 10,000-15,000 /month","Selected intern's day-to-day responsibilities include:  1. Collaborate with cross-functional teams to understand user requirements and business goals 2. Assist in the design and creation of wireframes, prototypes, and user flows 3. Conduct user research to gather insights and inform design decisions 4. Implement design solutions that enhance user experience and meet project objectives 5. Work closely with developers to ensure seamless integration of UI elements 6. Iterate on designs based on user feedback and usability testing 7. Maintain design consistency and adherence to brand guidelines 8. Stay updated on industry trends and best practices in UX/UI design 9. Assist in creating design documentation and specifications 10. Contribute to a positive and collaborative design culture within the teamOnly those candidates can apply who:1. are available for the work from home job/internship2. can start the work from home job/internship between 20th Jan'24 and 24th Feb'243. are available for duration of 3 months4. have relevant skills and interests10YTViews is the world's no. 1 social media branding & marketing platform where you can promote your YouTube, Instagram, Facebook, Twitter, LinkedIn & all other platforms.",1,0.000365186,1,1,2,1,1,0,0,0
Web Design,YTViews Digital Media Private Limited,Delhi,"₹ 5,000-12,000 /month","Selected intern's day-to-day responsibilities include:  1. Assist in designing and developing visually appealing and user-friendly websites 2. Collaborate with the team to gather requirements and understand project goals and objectives 3. Help with the creation and implementation of website layouts, navigation, and interactive elements 4. Support the development of responsive and mobile-friendly web designs 5. Assist in coding and programming using HTML, CSS, JavaScript, and other web development languages and frameworks 6. Conduct website testing and troubleshooting to ensure proper functionality across different browsers and devices 7. Assist in the integration of content management systems and e-commerce functionalities 8. Stay up-to-date with the latest web design trends and best practices 9. Assist in other tasks related to web development and design as assignedOnly those candidates can apply who:1. are available for full time (in-office) internship2. can start the internship between 20th Jan'24 and 24th Feb'243. are available for duration of 3 months4. have relevant skills and interests10YTViews is the world's no. 1 social media branding & marketing platform where you can promote your YouTube, Instagram, Facebook, Twitter, LinkedIn & all other platforms.",1,0.000365186,1,1,8,1,1,0,0,0
