,job_title,company_name,location,salary,description
1,Quality Assurance (Content),Quizzy,Work From Home,"₹ 8,000-12,000 /month","Selected intern's day-to-day responsibilities include:  1. Assess the content to ascertain its accuracy and clarity 2. Give feedback on the quality of the answers 3. Refine or enhance content to maintain accuracy and relevance 4. Employ expertise in diverse subjects to gauge answer correctness 5. Contribute significantly to upholding stringent academic content standards 6. Be instrumental in reviewing, rectifying, and improving content across various subjects, thereby providing valuable feedback and making essential enhancements  Note: This internship is perfect for individuals with a passion for education and a strong foundation in multiple subjects.Only those candidates can apply who:1. are available for the work from home job/internship2. can start the work from home job/internship between 16th Jan'24 and 20th Feb'243. are available for duration of 3 months4. have relevant skills and interests* Women wanting to start/restart their career can also apply.20LinkedIn pageQuizzy is a remote team management platform, proficient in executing diverse tasks on a grand scale. We're your powerhouse for creating content and data on a grand scale. With a diverse, skilled remote team at the helm, we focus on precision and quality."
2,Software Testing,Jarvics Technologies,Punjab,"₹ 7,000-12,000 /month","Selected intern's day-to-day responsibilities include:  1. Learning and implementing the software development process and the related technologies 2. Executing all levels of testing (system, integration, and regression) 3. Designing and developing automation scripts when neededOnly those candidates can apply who:1. are available for full time (in-office) internship2. can start the internship between 16th Jan'24 and 20th Feb'243. are available for duration of 6 months4. have relevant skills and interests* Women wanting to start/restart their career can also apply.16Jarvics Technologies deploy the best industrial processes and technology frameworks to help metamorphose our client's vision into actionable software solutions. We are committed to conferring our clients with long-term company gains and benefits. Having expertise in every sector of the IT industry, we are staunch towards achieving excellence and leaving a positive impact on our clients. We provide a wide range of offshore web development and mobile app development services to help you exploit the power of technology, consulting, and exploiting your online business investment."
3,Full Stack Development,Jarvics Technologies,Rupnagar,"₹ 10,000-20,000 /month","Selected intern's day-to-day responsibilities include:  1. Work on front-end languages and frameworks example HTML and CSS 2. Work on backend technologies and frameworks 3. Work with JavaScript and its environments like NodeJS and ExpressJS 4. Work on database management systemsOnly those candidates can apply who:1. are available for full time (in-office) internship2. can start the internship between 16th Jan'24 and 20th Feb'243. are available for duration of 6 months4. have relevant skills and interests19Jarvics Technologies deploy the best industrial processes and technology frameworks to help metamorphose our client's vision into actionable software solutions. We are committed to conferring our clients with long-term company gains and benefits. Having expertise in every sector of the IT industry, we are staunch towards achieving excellence and leaving a positive impact on our clients. We provide a wide range of offshore web development and mobile app development services to help you exploit the power of technology, consulting, and exploiting your online business investment."
4,PHP Development,Jarvics Technologies,Mohali,"₹ 7,000-12,000 /month","Selected intern's day-to-day responsibilities include:  1. Developing new features on the website in core PHP 2. Designing and developing projects from scratch by using PHP, MySQL, JS/jQuery 3. Collaborating with the team to improve overall user experience on the website 4. Creating tools which help to grow our businessOnly those candidates can apply who:1. are available for full time (in-office) internship2. can start the internship between 16th Jan'24 and 20th Feb'243. are available for duration of 3 months4. have relevant skills and interests* Women wanting to start/restart their career can also apply.13Jarvics Technologies deploy the best industrial processes and technology frameworks to help metamorphose our client's vision into actionable software solutions. We are committed to conferring our clients with long-term company gains and benefits. Having expertise in every sector of the IT industry, we are staunch towards achieving excellence and leaving a positive impact on our clients. We provide a wide range of offshore web development and mobile app development services to help you exploit the power of technology, consulting, and exploiting your online business investment."
5,JavaScript Development,Jarvics Technologies,Kurali,"₹ 7,000-12,000 /month","Selected intern's day-to-day responsibilities include:  1. Developing and maintaining web applications that are optimized for various devices and browsers 2. Implementing responsive design and cross-browser compatibility for different screen sizes 3. Developing user-friendly and interactive web features such as buttons, forms, and menus 4. Using JavaScript libraries and frameworks such as React or Angular to build complex web applications and interactive features 5. Writing and maintaining code that is clean, efficient, and easy to understandOnly those candidates can apply who:1. are available for full time (in-office) internship2. can start the internship between 16th Jan'24 and 20th Feb'243. are available for duration of 6 months4. have relevant skills and interests* Women wanting to start/restart their career can also apply.16Jarvics Technologies deploy the best industrial processes and technology frameworks to help metamorphose our client's vision into actionable software solutions. We are committed to conferring our clients with long-term company gains and benefits. Having expertise in every sector of the IT industry, we are staunch towards achieving excellence and leaving a positive impact on our clients. We provide a wide range of offshore web development and mobile app development services to help you exploit the power of technology, consulting, and exploiting your online business investment."
6,Java Development,Jarvics Technologies,Punjab,"₹ 8,000-15,000 /month","Selected intern's day-to-day responsibilities include:  1. Contribute to all stages of the software development lifecycle 2. Design, implement, and maintain Java-based applications that can be high-volume and low-latency 3. Analyze user requirements to define business objectives 4. Envision system features and functionality 5. Define application objectives and functionality 6. Ensure application designs conform to business goals 7. Develop and test software 8. Identify and resolve any technical issues arising 9. Create detailed design documentation 10. Propose changes to the current Java infrastructureOnly those candidates can apply who:1. are available for full time (in-office) internship2. can start the internship between 16th Jan'24 and 20th Feb'243. are available for duration of 6 months4. have relevant skills and interests* Women wanting to start/restart their career can also apply.19Jarvics Technologies deploy the best industrial processes and technology frameworks to help metamorphose our client's vision into actionable software solutions. We are committed to conferring our clients with long-term company gains and benefits. Having expertise in every sector of the IT industry, we are staunch towards achieving excellence and leaving a positive impact on our clients. We provide a wide range of offshore web development and mobile app development services to help you exploit the power of technology, consulting, and exploiting your online business investment."
7,Node.js Development,Jarvics Technologies,Punjab,"₹ 7,000-12,000 /month","Selected intern's day-to-day responsibilities include:  1. Collaborating with front-end developers on the integration of elements. 2. Designing customer-facing UI and back-end services for various business processes. 3. Knowledge of front-end technologies such as HTML5 and CSS3. 4. Developing high-performance applications by writing testable, reusable, and efficient code. 5. Implementing effective security protocols, data protection measures, and storage solutions. 6. Running diagnostic tests, repairing defects, and providing technical support. 7. Documenting Node.js processes, including database schemas, as well as preparing reports. 8. Keeping informed of advancements in the field of Node.js development.Only those candidates can apply who:1. are available for full time (in-office) internship2. can start the internship between 16th Jan'24 and 20th Feb'243. are available for duration of 6 months4. have relevant skills and interests14Jarvics Technologies deploy the best industrial processes and technology frameworks to help metamorphose our client's vision into actionable software solutions. We are committed to conferring our clients with long-term company gains and benefits. Having expertise in every sector of the IT industry, we are staunch towards achieving excellence and leaving a positive impact on our clients. We provide a wide range of offshore web development and mobile app development services to help you exploit the power of technology, consulting, and exploiting your online business investment."
8,Reactjs Development,Jarvics Technologies,Panchkula,"₹ 7,000-12,000 /month","Selected intern's day-to-day responsibilities include:  1. Developing new user-facing features using ReactJS 2. Building reusable components and front-end libraries for future use 3. Translating designs and wireframes into high-quality code 4. Optimizing components for maximum performance across a vast array of web-capable devices and browsersOnly those candidates can apply who:1. are available for full time (in-office) internship2. can start the internship between 16th Jan'24 and 20th Feb'243. are available for duration of 6 months4. have relevant skills and interests* Women wanting to start/restart their career can also apply.13Jarvics Technologies deploy the best industrial processes and technology frameworks to help metamorphose our client's vision into actionable software solutions. We are committed to conferring our clients with long-term company gains and benefits. Having expertise in every sector of the IT industry, we are staunch towards achieving excellence and leaving a positive impact on our clients. We provide a wide range of offshore web development and mobile app development services to help you exploit the power of technology, consulting, and exploiting your online business investment."
9,Python Development,Jarvics Technologies,Kharar,"₹ 7,000-12,000 /month","Selected intern's day-to-day responsibilities include:  1. Working on machine learning algorithms using Python programming 2. Collecting or creating data-sets for machine learning 3. Managing fine-tuning ML models 4. Experimenting with different algorithms and transferring them to given use-case 5. Researching on various ML models and present suitable findings 6. Debugging, troubleshooting, and writing good quality codeOnly those candidates can apply who:1. are available for full time (in-office) internship2. can start the internship between 16th Jan'24 and 20th Feb'243. are available for duration of 3 months4. have relevant skills and interests12Jarvics Technologies deploy the best industrial processes and technology frameworks to help metamorphose our client's vision into actionable software solutions. We are committed to conferring our clients with long-term company gains and benefits. Having expertise in every sector of the IT industry, we are staunch towards achieving excellence and leaving a positive impact on our clients. We provide a wide range of offshore web development and mobile app development services to help you exploit the power of technology, consulting, and exploiting your online business investment."
10,Website Support - Resizing,Growify Digital,Delhi,"₹ 10,000-15,000 /month","Selected intern's day-to-day responsibilities include:  1. Support the team in resizing and optimizing digital assets using Adobe Illustrator and Adobe Photoshop 2. Collaborate with the website team and designers to ensure brand consistency across various platforms 3. Assist in creating engaging and visually appealing graphics, banners, and social media content 4. Maintain a thorough understanding of the company's brand guidelines and apply them to all design work 5. Coordinate with the marketing team to meet project deadlines and deliver high-quality designs 6. Stay updated on industry trends and best practices to contribute innovative ideas to design projects 7. Take ownership of assigned tasks and demonstrate strong attention to detail in all aspects of design execution  Join our dynamic team at Growify Digital as a Junior Designer - Website Support and unleash your creativity! This exciting role offers the opportunity to work with industry-leading professionals and gain hands-on experience in a fast-paced digital marketing environment.  As a Junior Designer - Website Support, you will play a vital role in supporting our design team by utilizing your expertise in Adobe Illustrator and Adobe Photoshop. Your primary responsibility will be to assist in resizing and optimizing digital assets for various platforms, ensuring consistency across different marketing channels.  Collaboration is key in this role, as you will work closely with art directors and senior designers to maintain brand integrity and produce visually stunning graphics. Your fresh ideas and innovative thinking will contribute to the creation of engaging banners, social media content, and other design projects.Only those candidates can apply who:1. are available for full time (in-office) internship2. can start the internship between 16th Jan'24 and 20th Feb'243. are available for duration of 6 months4. have relevant skills and interests2WebsiteWe are an e-commerce sales-oriented agency focused on the fashion industry in India. We work as partners with our clients by taking over the digital channels to monetize them by doing everything from setting up their website, accounts, and channels to running ads across various digital channels to doing in-house sales and finally even managing their payment collection and order fulfillment by coordinating with production and their customers. Our incentive to achieve sales is because we get paid with sales cuts and thus are true partners with our clients to achieve the best for their business. Our uniqueness stems from our tech-oriented approach to marketing and diligence with sales."
